Epoch,Avg_AoI
1,64.8066
2,63.5619
3,63.0134
4,60.0663
5,60.0663
6,60.4026
7,60.0663
8,60.0663
9,60.0663
10,60.0663
11,60.0663
12,60.0663
13,60.0663
14,60.0663
15,60.0663
16,60.0663
17,60.0663
18,60.0663
19,60.0663
20,60.0663
21,60.0663
22,60.0663
23,60.0663
24,60.2320
25,60.0663
26,60.0663
27,60.7593
28,60.0663
29,60.0663
30,60.0663
31,60.0663
32,60.0663
33,60.0663
34,60.0663
35,60.0663
36,60.0663
37,60.0663
38,60.0663
39,60.0663
40,60.0663
41,60.0663
42,60.0663
43,60.0663
44,60.0663
45,60.0663
46,60.0663
47,60.0663
48,60.0663
49,60.0663
50,60.0663
