Epoch,Avg_AoI
1,63.9201
2,63.5778
3,63.5314
4,61.6525
5,61.6525
6,62.0375
7,60.7317
8,59.8376
9,60.5314
10,60.3954
11,59.8376
12,59.8376
13,59.8376
14,59.8376
15,59.8376
16,59.8376
17,59.8376
18,59.8376
19,60.5764
20,60.0164
21,60.0164
22,59.8376
23,59.8376
24,59.8376
25,59.8376
26,59.8376
27,59.8376
28,59.8376
29,59.8376
30,59.8376
31,59.8376
32,59.8376
33,59.8376
34,59.8376
35,59.8376
36,59.8376
37,59.8376
38,59.8376
39,59.8376
40,59.8376
41,59.8376
42,59.8376
43,59.8376
44,59.8376
45,59.8376
46,59.8376
47,59.8376
48,59.8376
49,59.8376
50,59.8376
