Generation,Avg_AoI
0,84.6669
1,77.1563
2,69.2856
3,64.9531
4,62.3829
5,61.7861
6,61.5723
7,61.7990
8,61.2569
9,60.4440
10,60.1427
11,59.9116
12,60.2079
13,59.9599
14,60.0507
15,59.9653
16,59.9692
17,59.8723
18,59.9410
19,60.1215
20,59.9416
21,60.0306
22,60.1707
23,60.1197
24,59.8824
25,60.0575
26,60.0639
27,60.0958
28,59.8695
29,59.9456
30,59.8634
31,60.0398
32,60.0191
33,59.9142
34,59.8715
35,59.9436
36,60.0311
37,59.9473
38,59.8819
39,59.8862
40,59.8613
41,59.9402
42,59.8616
43,59.8859
44,59.9411
45,59.8822
46,59.8897
47,59.8819
48,59.9826
49,59.9587
