Episode,Min_AoI,p_d,PRR,Actor_Loss,Critic_Loss
0,142.8324,0.7178,0.0063,7.1101,19.1107
1,129.6474,0.7081,0.0076,8.7946,6.6897
2,108.0632,0.6898,0.0100,10.2354,0.8406
3,83.0886,0.6638,0.0168,11.2929,0.2695
4,64.4951,0.6571,0.0359,11.8594,2.4167
5,56.1300,0.6995,0.0391,11.9707,4.4260
6,49.2492,0.7268,0.0316,11.7452,4.8329
7,47.8827,0.7347,0.0221,11.3007,3.8022
8,93.8410,0.7358,0.0064,10.7353,2.1958
9,135.4958,0.7362,0.0073,10.1316,0.8213
10,86.7664,0.7363,0.0205,9.5634,0.0841
11,44.9320,0.7364,0.0371,9.0926,0.0990
12,38.7892,0.7364,0.0433,8.7646,0.6341
13,37.3646,0.7364,0.0446,8.5986,1.2729
14,36.4900,0.7364,0.0500,8.5939,1.6966
15,36.1756,0.7364,0.0495,8.7303,1.7204
16,36.3533,0.7364,0.0486,8.9799,1.4426
17,36.3551,0.7364,0.0494,9.3035,0.8796
18,36.1857,0.7364,0.0500,9.6613,0.3848
19,36.2332,0.7364,0.0500,10.0146,0.0836
20,36.1604,0.7364,0.0497,10.3258,0.0193
21,36.0693,0.7364,0.0494,10.5641,0.1488
22,36.0907,0.7364,0.0493,10.7109,0.3856
23,36.1193,0.7364,0.0490,10.7562,0.5694
24,36.1037,0.7364,0.0499,10.7067,0.6320
25,36.1316,0.7364,0.0481,10.5788,0.5290
26,36.0484,0.7364,0.0500,10.3965,0.3513
27,36.0943,0.7364,0.0500,10.1856,0.1648
28,36.0810,0.7364,0.0500,9.9735,0.0509
29,36.1243,0.7364,0.0500,9.7896,0.0305
30,36.1449,0.7364,0.0500,9.6527,0.0959
31,36.0903,0.7364,0.0500,9.5785,0.2042
32,36.0791,0.7364,0.0500,9.5726,0.2987
33,36.0840,0.7364,0.0500,9.6327,0.3309
34,36.1267,0.7364,0.0500,9.7472,0.2755
35,36.1097,0.7364,0.0500,9.8964,0.1735
36,36.1071,0.7364,0.0500,10.0604,0.0854
37,36.0569,0.7364,0.0500,10.2157,0.0365
38,36.1790,0.7364,0.0490,10.3479,0.0332
39,36.0880,0.7364,0.0500,10.4438,0.0722
40,36.0559,0.7364,0.0498,10.4932,0.1140
41,36.1008,0.7364,0.0500,10.4969,0.1336
42,36.1062,0.7364,0.0498,10.4619,0.1153
43,36.1275,0.7364,0.0500,10.3948,0.1105
44,36.0744,0.7364,0.0500,10.3101,0.0681
45,36.1078,0.7364,0.0500,10.2225,0.0403
46,36.0970,0.7364,0.0490,10.1487,0.0392
47,36.0685,0.7364,0.0498,10.0991,0.0572
48,36.0590,0.7364,0.0496,10.0806,0.0838
49,36.0905,0.7364,0.0500,10.0904,0.0879
50,36.0833,0.7364,0.0499,10.1282,0.0883
51,36.1165,0.7364,0.0500,10.1909,0.0853
52,36.1248,0.7364,0.0498,10.2679,0.0525
53,36.0556,0.7364,0.0490,10.3463,0.0405
54,36.0631,0.7364,0.0500,10.4157,0.0431
55,36.1082,0.7364,0.0487,10.4665,0.0461
56,36.0784,0.7364,0.0498,10.5005,0.0346
57,36.2128,0.7364,0.0500,10.5105,0.0511
58,36.1370,0.7364,0.0494,10.4970,0.0616
59,36.2283,0.7364,0.0486,10.4644,0.0628
60,37.8177,0.7364,0.0298,10.4222,0.0353
61,47.7274,0.7364,0.0276,10.3785,0.0408
62,48.4109,0.7364,0.0241,10.3386,0.0404
63,43.6405,0.7364,0.0346,10.3145,0.0436
64,40.3343,0.7364,0.0394,10.3108,0.0430
65,38.9575,0.7364,0.0411,10.3272,0.0512
66,38.6004,0.7364,0.0429,10.3563,0.0395
67,38.4302,0.7364,0.0429,10.3996,0.0448
68,37.9109,0.7364,0.0445,10.4423,0.0399
69,37.7827,0.7364,0.0459,10.4746,0.0423
70,37.3793,0.7364,0.0447,10.4892,0.0545
71,37.6897,0.7364,0.0455,10.4968,0.0442
72,37.4097,0.7364,0.0457,10.4968,0.0417
73,37.1236,0.7364,0.0472,10.4868,0.0477
74,36.8755,0.7364,0.0469,10.4714,0.0477
75,36.9320,0.7364,0.0477,10.4531,0.0441
76,37.6286,0.7364,0.0456,10.4356,0.0553
77,37.2422,0.7364,0.0463,10.4230,0.0484
78,37.4008,0.7364,0.0435,10.4200,0.0490
79,37.2411,0.7364,0.0457,10.4281,0.0439
80,37.2398,0.7364,0.0451,10.4436,0.0418
81,37.6941,0.7364,0.0442,10.4681,0.0470
82,37.0105,0.7364,0.0469,10.4952,0.0563
83,36.7505,0.7364,0.0485,10.5199,0.0458
84,36.7459,0.7364,0.0459,10.5274,0.0779
85,37.3206,0.7364,0.0448,10.5179,0.0649
86,37.5572,0.7364,0.0468,10.4989,0.0731
87,36.8594,0.7364,0.0476,10.4833,0.0646
88,36.5218,0.7364,0.0477,10.4677,0.0857
89,36.8085,0.7364,0.0472,10.4539,0.0611
90,36.5222,0.7364,0.0480,10.4529,0.0683
91,36.6342,0.7364,0.0480,10.4594,0.0634
92,36.8753,0.7364,0.0470,10.4737,0.0673
93,36.7997,0.7364,0.0477,10.4940,0.0629
94,36.7309,0.7364,0.0472,10.5161,0.0581
95,36.8413,0.7364,0.0474,10.5299,0.0750
96,36.5845,0.7364,0.0481,10.5333,0.0592
97,36.4437,0.7364,0.0481,10.5353,0.0666
98,36.5530,0.7364,0.0481,10.5289,0.0671
99,36.4958,0.7364,0.0480,10.5226,0.0462
100,36.5719,0.7364,0.0489,10.5107,0.0740
101,36.3878,0.7364,0.0481,10.4972,0.0633
102,36.4534,0.7364,0.0487,10.4900,0.0489
103,36.5708,0.7364,0.0487,10.4925,0.0621
104,36.4095,0.7364,0.0490,10.5055,0.0589
105,36.3693,0.7364,0.0493,10.5186,0.0603
106,36.3106,0.7364,0.0494,10.5258,0.0611
107,36.3841,0.7364,0.0489,10.5351,0.0607
108,36.4332,0.7364,0.0484,10.5483,0.0474
