Vehicle density = 50.00, RRI = 10, Vehicle speed = 120.00, AoI = 36.03517298746483
Vehicle density = 100.00, RRI = 10, Vehicle speed = 60.00, AoI = 76.79915071475075
Vehicle density = 150.00, RRI = 10, Vehicle speed = 40.00, AoI = 500
Vehicle density = 200.00, RRI = 10, Vehicle speed = 30.00, AoI = 500
Vehicle density = 50.00, RRI = 15, Vehicle speed = 120.00, AoI = 46.38068036127734
Vehicle density = 100.00, RRI = 15, Vehicle speed = 60.00, AoI = 53.650618558910864
Vehicle density = 150.00, RRI = 15, Vehicle speed = 40.00, AoI = 93.53955508172216
Vehicle density = 200.00, RRI = 15, Vehicle speed = 30.00, AoI = 20664.832523101995
Vehicle density = 50.00, RRI = 18, Vehicle speed = 120.00, AoI = 53.17119162263166
Vehicle density = 100.00, RRI = 18, Vehicle speed = 60.00, AoI = 56.833141942054745
Vehicle density = 150.00, RRI = 18, Vehicle speed = 40.00, AoI = 69.7720228303289
Vehicle density = 200.00, RRI = 18, Vehicle speed = 30.00, AoI = 177.4853119928094
Vehicle density = 50.00, RRI = 20, Vehicle speed = 120.00, AoI = 57.78440636150118
Vehicle density = 100.00, RRI = 20, Vehicle speed = 60.00, AoI = 59.91471190657373
Vehicle density = 150.00, RRI = 20, Vehicle speed = 40.00, AoI = 66.96923502437795
Vehicle density = 200.00, RRI = 20, Vehicle speed = 30.00, AoI = 107.55740504177848
Vehicle density = 50.00, RRI = 50, Vehicle speed = 120.00, AoI = 128.88773603357774
Vehicle density = 100.00, RRI = 50, Vehicle speed = 60.00, AoI = 120.23562261937214
Vehicle density = 150.00, RRI = 50, Vehicle speed = 40.00, AoI = 108.83251150693818
Vehicle density = 200.00, RRI = 50, Vehicle speed = 30.00, AoI = 102.44040401640717
Vehicle density = 50.00, RRI = 80, Vehicle speed = 120.00, AoI = 200.6277633698829
Vehicle density = 100.00, RRI = 80, Vehicle speed = 60.00, AoI = 183.98165808864877
Vehicle density = 150.00, RRI = 80, Vehicle speed = 40.00, AoI = 162.90206549293336
Vehicle density = 200.00, RRI = 80, Vehicle speed = 30.00, AoI = 149.1133489575789
Vehicle density = 50.00, RRI = 100, Vehicle speed = 120.00, AoI = 248.51165053097685
Vehicle density = 100.00, RRI = 100, Vehicle speed = 60.00, AoI = 226.71191005572146
Vehicle density = 150.00, RRI = 100, Vehicle speed = 40.00, AoI = 199.49401451576745
Vehicle density = 200.00, RRI = 100, Vehicle speed = 30.00, AoI = 181.30792130969232
