Vehicle density = 100.0000, RRI = 15.0000, Vehicle speed = 36.0000, AoI = 64.8066
Vehicle density = 100.0000, RRI = 15.0000, Vehicle speed = 36.0000, AoI = 64.8066
Vehicle density = 90.0000, RRI = 15.0000, Vehicle speed = 40.0000, AoI = 63.6985
Vehicle density = 80.0000, RRI = 15.0000, Vehicle speed = 45.0000, AoI = 63.5778
Vehicle density = 70.0000, RRI = 15.0000, Vehicle speed = 51.4286, AoI = 64.1915
Vehicle density = 75.0000, RRI = 15.0000, Vehicle speed = 48.0000, AoI = 63.8078
Vehicle density = 75.0000, RRI = 15.0000, Vehicle speed = 48.0000, AoI = 63.8078
Vehicle density = 80.0000, RRI = 15.0000, Vehicle speed = 45.0000, AoI = 63.5778
Vehicle density = 80.0000, RRI = 15.0000, Vehicle speed = 45.0000, AoI = 63.5778
Vehicle density = 85.0000, RRI = 15.0000, Vehicle speed = 42.3529, AoI = 63.5314
Vehicle density = 85.0000, RRI = 15.0000, Vehicle speed = 42.3529, AoI = 63.5314
Vehicle density = 85.0000, RRI = 15.0000, Vehicle speed = 42.3529, AoI = 63.5314
Vehicle density = 86.0000, RRI = 15.0000, Vehicle speed = 41.8605, AoI = 62.6267
Vehicle density = 87.0000, RRI = 15.0000, Vehicle speed = 41.3793, AoI = 61.7482
Vehicle density = 88.0000, RRI = 15.0000, Vehicle speed = 40.9091, AoI = 60.8949
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 90.0000, RRI = 15.0000, Vehicle speed = 40.0000, AoI = 63.6985
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 90.0000, RRI = 15.0000, Vehicle speed = 40.0000, AoI = 63.6985
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
Vehicle density = 89.0000, RRI = 15.0000, Vehicle speed = 40.4494, AoI = 60.0663
