Vehicle density = 75.0000, RRI = 12.0000, Vehicle speed = 80.0000, AoI = 45.1078
Vehicle density = 75.0000, RRI = 12.0000, Vehicle speed = 80.0000, AoI = 45.1078
Vehicle density = 60.0000, RRI = 10.0000, Vehicle speed = 100.0000, AoI = 38.7487
Vehicle density = 50.0000, RRI = 12.0000, Vehicle speed = 120.0000, AoI = 39.9111
Vehicle density = 75.0000, RRI = 10.0000, Vehicle speed = 80.0000, AoI = 44.7345
Vehicle density = 55.0000, RRI = 10.0000, Vehicle speed = 109.0909, AoI = 37.3295
Vehicle density = 55.0000, RRI = 10.0000, Vehicle speed = 109.0909, AoI = 37.3295
Vehicle density = 55.0000, RRI = 10.0000, Vehicle speed = 109.0909, AoI = 37.3295
Vehicle density = 55.0000, RRI = 10.0000, Vehicle speed = 109.0909, AoI = 37.3295
Vehicle density = 55.0000, RRI = 10.0000, Vehicle speed = 109.0909, AoI = 37.3295
Vehicle density = 52.0000, RRI = 10.0000, Vehicle speed = 115.3846, AoI = 34.9909
Vehicle density = 52.0000, RRI = 10.0000, Vehicle speed = 115.3846, AoI = 34.9909
Vehicle density = 52.0000, RRI = 10.0000, Vehicle speed = 115.3846, AoI = 34.9909
Vehicle density = 52.0000, RRI = 10.0000, Vehicle speed = 115.3846, AoI = 34.9909
Vehicle density = 52.0000, RRI = 10.0000, Vehicle speed = 115.3846, AoI = 34.9909
Vehicle density = 51.0000, RRI = 10.0000, Vehicle speed = 117.6471, AoI = 35.5045
Vehicle density = 51.0000, RRI = 10.0000, Vehicle speed = 117.6471, AoI = 35.5045
Vehicle density = 51.0000, RRI = 10.0000, Vehicle speed = 117.6471, AoI = 35.5045
Vehicle density = 51.0000, RRI = 10.0000, Vehicle speed = 117.6471, AoI = 35.5045
Vehicle density = 51.0000, RRI = 10.0000, Vehicle speed = 117.6471, AoI = 35.5045
Vehicle density = 53.0000, RRI = 10.0000, Vehicle speed = 113.2075, AoI = 34.4938
Vehicle density = 53.0000, RRI = 10.0000, Vehicle speed = 113.2075, AoI = 34.4938
Vehicle density = 52.0000, RRI = 10.0000, Vehicle speed = 115.3846, AoI = 34.9909
Vehicle density = 53.0000, RRI = 10.0000, Vehicle speed = 113.2075, AoI = 34.4938
Vehicle density = 52.0000, RRI = 10.0000, Vehicle speed = 115.3846, AoI = 34.9909
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
Vehicle density = 54.0000, RRI = 10.0000, Vehicle speed = 111.1111, AoI = 34.0125
