Vehicle density = 100.0000, RRI = 15.0000, Vehicle speed = 36.0000, AoI = 64.8066
Vehicle density = 90.0000, RRI = 15.0000, Vehicle speed = 40.0000, AoI = 63.6985
Vehicle density = 80.0000, RRI = 15.0000, Vehicle speed = 45.0000, AoI = 63.5778
Vehicle density = 75.0000, RRI = 15.0000, Vehicle speed = 48.0000, AoI = 63.8078
Vehicle density = 70.0000, RRI = 15.0000, Vehicle speed = 51.4286, AoI = 64.1915
Vehicle density = 78.0000, RRI = 15.0000, Vehicle speed = 46.1538, AoI = 60.7422
Vehicle density = 76.0000, RRI = 15.0000, Vehicle speed = 47.3684, AoI = 62.7549
Vehicle density = 77.0000, RRI = 15.0000, Vehicle speed = 46.7532, AoI = 61.7334
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 80.0000, RRI = 15.0000, Vehicle speed = 45.0000, AoI = 63.5778
Vehicle density = 80.0000, RRI = 15.0000, Vehicle speed = 45.0000, AoI = 63.5778
Vehicle density = 80.0000, RRI = 15.0000, Vehicle speed = 45.0000, AoI = 63.5778
Vehicle density = 80.0000, RRI = 15.0000, Vehicle speed = 45.0000, AoI = 63.5778
Vehicle density = 80.0000, RRI = 15.0000, Vehicle speed = 45.0000, AoI = 63.5778
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 80.0000, RRI = 15.0000, Vehicle speed = 45.0000, AoI = 63.5778
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 78.0000, RRI = 15.1100, Vehicle speed = 46.1538, AoI = 60.9632
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
Vehicle density = 79.0000, RRI = 15.0000, Vehicle speed = 45.5696, AoI = 59.7803
