Epoch,Avg_AoI
1,46.0985
2,42.4982
3,38.7487
4,37.4315
5,37.5760
6,36.3630
7,34.9402
8,36.5911
9,37.0256
10,34.8856
11,34.4619
12,34.8623
13,34.4654
14,34.3428
15,34.0125
16,34.1502
17,34.0372
18,34.2539
19,34.4233
20,34.0153
21,34.0133
22,34.0126
23,34.0125
24,34.0125
25,34.1120
26,34.2082
27,34.0126
28,34.0125
29,34.1104
30,34.4055
31,34.6759
32,34.0126
33,34.1088
34,34.2050
35,34.4171
36,34.0125
37,34.1088
38,34.0127
39,34.0126
40,34.1088
41,34.0129
42,34.0156
43,34.1103
44,34.0125
45,34.0125
46,34.0128
47,34.2050
48,34.1091
49,34.1088
50,34.1088
