Epoch,Avg_AoI
1,63.6480
2,63.3453
3,62.0318
4,61.1000
5,60.0164
6,62.7926
7,59.8376
8,60.3954
9,60.3986
10,60.1965
11,60.5764
12,59.8376
13,59.8376
14,59.8376
15,59.8376
16,59.8376
17,59.8376
18,60.1965
19,59.8376
20,59.8376
21,59.8376
22,59.8376
23,59.8376
24,59.8376
25,59.8376
26,60.0164
27,59.8376
28,60.5764
29,59.8376
30,59.8376
31,59.8376
32,59.8376
33,59.8376
34,59.8376
35,60.0164
36,60.5764
37,59.8376
38,59.8376
39,60.0164
40,59.8376
41,59.8376
42,59.8376
43,59.8376
44,59.8376
45,59.8376
46,59.8376
47,60.0164
48,59.8376
49,59.8376
50,60.0164
