Generation,Min_AoI
0,64.0532
1,61.3595
2,60.1904
3,60.1904
4,59.9898
5,59.8613
6,59.8613
7,59.8613
8,59.8613
9,59.8613
10,59.8613
11,59.8613
12,59.8613
13,59.8613
14,59.8613
15,59.8613
16,59.8613
17,59.8613
18,59.8613
19,59.8613
20,59.8613
21,59.8613
22,59.8613
23,59.8613
24,59.8613
25,59.8613
26,59.8613
27,59.8613
28,59.8613
29,59.8613
30,59.8613
31,59.8613
32,59.8613
33,59.8613
34,59.8613
35,59.8613
36,59.8613
37,59.8613
38,59.8613
39,59.8613
40,59.8613
41,59.8613
42,59.8613
43,59.8613
44,59.8613
45,59.8613
46,59.8613
47,59.8613
48,59.8613
49,59.8613
