Generation,Min_AoI
0,62.6463
1,63.5877
2,62.5412
3,62.6255
4,62.2439
5,62.0537
6,61.7297
7,61.9977
8,60.8873
9,60.8210
10,60.8830
11,60.0956
12,60.0740
13,60.0956
14,60.0477
15,59.8983
16,59.8983
17,59.8983
18,59.8575
19,59.8546
20,59.8438
21,59.8546
22,59.8507
23,59.8507
24,59.8512
25,59.8512
26,59.8380
27,59.8378
28,59.8378
29,59.8397
30,59.8393
31,59.8378
32,59.8378
33,59.8378
34,59.8378
35,59.8377
36,59.8377
37,59.8377
38,59.8377
39,59.8376
40,59.8376
41,59.8376
42,59.8376
43,59.8376
44,59.8376
45,59.8376
46,59.8376
47,59.8376
48,59.8376
49,59.8376
