Episode,Min_AoI,p_d,PRR
0,115.6778,0.6286,0.0148
1,110.8094,0.6105,0.0173
2,115.3209,0.6597,0.0160
3,108.0783,0.7284,0.0271
4,114.0819,0.7111,0.0199
5,114.1172,0.5084,0.0168
6,120.9531,0.6845,0.0153
7,115.3257,0.7141,0.0154
8,114.4523,0.7294,0.0246
9,113.4365,0.7170,0.0196
10,117.2260,0.7211,0.0212
11,117.4083,0.7283,0.0197
12,110.3113,0.7160,0.0142
13,114.5053,0.7199,0.0259
14,120.0571,0.5165,0.0327
15,119.3976,0.6089,0.0314
16,118.0158,0.6341,0.0181
17,121.2053,0.7241,0.0196
18,119.9462,0.7183,0.0194
19,117.1947,0.7244,0.0155
20,116.4118,0.6704,0.0134
21,116.7361,0.6748,0.0202
22,117.8953,0.5205,0.0208
23,118.6743,0.7284,0.0123
24,114.5462,0.5130,0.0329
25,118.4368,0.6986,0.0145
26,120.4437,0.6964,0.0179
27,117.2762,0.6255,0.0186
28,119.0285,0.7057,0.0158
29,120.1091,0.6540,0.0146
30,115.9598,0.7082,0.0131
31,111.2838,0.6260,0.0172
32,118.3372,0.7248,0.0250
33,115.1213,0.7035,0.0205
34,112.7382,0.7254,0.0130
35,120.2764,0.5593,0.0228
36,115.2263,0.6990,0.0163
37,118.2309,0.7156,0.0156
38,113.3100,0.6947,0.0159
39,113.3573,0.7276,0.0144
40,120.4694,0.6188,0.0293
41,116.4589,0.6839,0.0150
42,117.1459,0.7233,0.0144
43,116.4762,0.7280,0.0149
44,120.4160,0.7142,0.0129
45,114.1531,0.5199,0.0188
46,118.6743,0.7292,0.0166
47,117.8152,0.5609,0.0266
48,110.3052,0.6186,0.0217
49,117.3362,0.6279,0.0304
50,116.8920,0.5978,0.0182
51,111.7352,0.5878,0.0198
52,117.6870,0.6862,0.0273
53,114.1675,0.7288,0.0130
54,117.6299,0.6363,0.0218
55,117.9131,0.7234,0.0220
56,114.8411,0.7190,0.0184
57,114.4464,0.6981,0.0136
58,117.8809,0.6957,0.0250
59,111.7958,0.5133,0.0204
60,112.9207,0.6626,0.0138
61,114.8703,0.7293,0.0146
62,111.5112,0.7179,0.0187
63,112.5043,0.6916,0.0166
64,116.5310,0.6819,0.0313
65,117.4105,0.7214,0.0128
66,117.4480,0.7286,0.0268
67,109.1402,0.6915,0.0246
68,109.9129,0.6952,0.0165
69,116.1199,0.6988,0.0128
70,114.4578,0.5790,0.0416
71,115.9200,0.6940,0.0165
72,110.9883,0.6412,0.0190
73,112.5599,0.6686,0.0180
74,115.4849,0.7142,0.0132
75,114.3411,0.7266,0.0272
76,108.7945,0.6560,0.0155
77,116.0797,0.7217,0.0147
78,114.7727,0.7026,0.0215
79,113.5758,0.5169,0.0617
80,110.9592,0.6670,0.0263
81,116.8962,0.7226,0.0144
